T_ID,Type,Questions,Option1,Option2,Option3,Option4,Correct answer
1,Python,Which type of Programming does Python support?,object-oriented programming,structured programming,functional programming,all of the mentioned,all of the mentioned
1,Python,Is Python code compiled or interpreted?,Python code is both compiled and interpreter,Python code is neither compiled nor interpreted,Python code is only compiled,Python code is only interpreted,Python code is both compiled and interpreted
1,Python,What is the order of precedence in python?,"Exponential, Parentheses, Multiplication, Division, Addition, Subtraction","Exponential, Parentheses, Division, Multiplication, Addition, Subtraction","Parentheses, Exponential, Multiplication, Division, Subtraction, Addition","Parentheses, Exponential, Multiplication, Division, Addition, Subtraction","Parentheses, Exponential, Multiplication, Division, Addition, Subtraction"
1,Python,Which of these is the definition for packages in Python?, A set of main modules,A folder of python modules,A number of files containing Python definitions and statements,A set of programs making use of Python modules,A folder of python modules
1,Python,What are the two main types of functions in Python?,System function,Custom function,Built-in function & User defined function,User function,Built-in function & User defined function
2,Java,What is the size of an int in Java?,8 bits,16 bits,32 bits,64 bits,64 bits
2,Java,Which of the following is not a primitive data type in Java?,int,float,String,char,String
2,Java,What is the default value of a boolean variable in Java?,TRUE,FALSE,null,0,FALSE
2,Java,Which of these keywords is used to define a class in Java?,class,struct,interface,package,class
2,Java,How do you create an object of the class Dog in Java?,Dog d = new Dog();,Dog d = Dog();,Dog d = new Dog;,Dog d = Dog.new();,Dog d = new Dog();
3,Javascript,Which method is used to add a new item to the end of an array and return the new length of the array?,push(),concat(),slice(),splice(),push()
3,Javascript,Which of the following is the correct way to declare a variable in JavaScript?,variable x = 5;,var x = 5;,int x = 5;,x = 5;,var x = 5;
3,Javascript,"What is the output of the following code? : console.log(typeof ""Hello"");",string,text,char,object,string
3,Javascript,Which of the following is true about JavaScript closures?,They allow a function to access variables from another function.,They create a new variable scope inside a function.,They are used to automatically bind this to a function.,They are used to return the arguments passed to a function.,They allow a function to access variables from another function.
3,Javascript,What is the result of typeof null in JavaScript?,"""null""","""object""","""undefined""","""string""","""object"""
